gen;best;avg;worst
891;8027;21459;32046
892;8027;20988;31113
893;8027;21206;32333
894;8027;21743;32848
895;8027;21041;32433
896;8027;21194;31806
897;8027;22070;32065
898;8027;22013;31722
899;8027;22262;31403
900;8027;21035;30675
901;8027;21993;31618
902;8027;21744;32075
903;8027;21775;31881
904;8027;21076;31121
905;8027;20304;30064
906;8027;21683;32177
907;8027;22141;32361
908;8027;21643;31907
909;8027;21739;32638
910;8027;20757;29410
911;8027;21035;31212
912;8027;21492;31866
913;8027;21308;31601
914;8027;21384;30746
915;8027;21314;30917
916;8027;21832;30600
917;8027;20782;30637
918;8027;20167;28569
919;8027;21427;30401
920;8027;21425;31201
921;8027;22083;32171
922;8027;21436;31741
923;8027;21367;30615
924;8027;21802;31023
925;8027;22001;31974
926;8027;20875;32433
927;8027;20877;32699
928;8027;20564;32176
929;8027;19336;30832
930;8027;19273;30056
931;8027;19877;32159
932;8027;20220;33133
933;8027;19759;32605
934;8027;20177;32542
935;8027;20543;31301
936;8027;20715;31158
937;8027;19529;29575
938;8027;20976;30732
939;8027;21890;33680
940;8027;21507;33460
941;8027;21165;31081
942;8027;21956;31672
943;8027;21158;30604
944;8027;21107;30811
945;8027;21037;29555
946;8027;21439;31086
947;8027;20235;30160
948;8027;20929;31218
949;8027;21264;32023
950;8027;20944;30976
951;8027;21126;30767
952;8027;21292;30147
953;8027;20759;31078
954;8027;20742;30050
955;8027;20792;30074
956;8027;21151;30429
957;8027;21310;29492
958;8027;21531;30945
959;8027;22369;29939
960;8027;21496;31708
961;8027;20789;30457
962;8027;21664;32248
963;8027;21648;32405
964;8027;21778;30401
965;8027;21037;30331
966;8027;21280;30473
967;8027;20844;30427
968;8027;21714;32011
969;8027;23324;33114
970;8027;23572;34567
971;8027;22662;34044
972;8027;21681;33500
973;8027;20754;31644
974;8027;19772;30519
975;8027;19370;28243
976;8027;19170;29178
977;8027;19349;29175
978;8027;20823;29702
979;8027;20061;29181
980;8027;20638;31044
981;8027;20076;29431
982;8027;19899;31261
983;8027;21422;32386
984;8027;21230;32969
985;8027;20223;31213
986;8027;21452;32529
